email,valid,reason
0oo4givw@hotmail.com,1,Valid domain
qt3ent1nn@nonexistent456.com,,No MX records found
73ho0im@nonexistent456.com,,No MX records found
g8w2aflmbiev6@example.org,,All SMTP servers failed
5dhc2@testbox.xyz,,No MX records found
ta2n3ici@invalidomain789.net,,No MX records found
1khpnza@hotmail.com,1,Valid domain
zq8dfkzxpv@testbox.xyz,,No MX records found
o5wmjimv7svko@nonexistent456.com,,No MX records found
3kllarztxcw@example.org,,All SMTP servers failed
alley75@fakemail.io,,No MX records found
2k35wqxpywbwx@invalidomain789.net,,No MX records found
q8li6k@fakezone123.com,,No MX records found
za4njmcg2i0g@nonexistent456.com,,No MX records found
ldei70u@example.org,,All SMTP servers failed
u5i30n3pcdk@gmail.com,1,Valid domain
oyviv@testbox.xyz,,No MX records found
0udjy70nm@yahoo.com,1,Valid domain
dq4kvcw2@fakezone123.com,,No MX records found
fvzcz5@yahoo.com,1,Valid domain
0fooithvwqk@gmail.com,1,Valid domain
b4832jlwyf19@fakezone123.com,,No MX records found
w8y4gsc2c@fakezone123.com,,No MX records found
n9yd9c72rxt@hotmail.com,1,Valid domain
gyt56juvqivka@invalidomain789.net,,No MX records found
cbhmqbb@yahoo.com,1,Valid domain
kv084wzhbifosw@fakemail.io,,No MX records found
3yhqpvr952xgk6@hotmail.com,1,Valid domain
7cx4crm@fakezone123.com,,No MX records found
4u7yi@fakemail.io,,No MX records found
pewva6rhddo@fakemail.io,,No MX records found
wron4gb9pz38zk@invalidomain789.net,,No MX records found
avcp3kokdf@fakezone123.com,,No MX records found
afznws4d95@testbox.xyz,,No MX records found
v6jfxhbd@fakemail.io,,No MX records found
frdvq1tl1@hotmail.com,1,Valid domain
0f5kqxz20@fakemail.io,,No MX records found
r4fprgj@example.org,,All SMTP servers failed
wzcia5@hotmail.com,1,Valid domain
w4cmt9jap0@invalidomain789.net,,No MX records found
mss5yy134zi5ap@fakezone123.com,,No MX records found
myzl6f0oiurrce@gmail.com,1,Valid domain
ejkwtiglivfj@gmail.com,1,Valid domain
kue0r6a0@gmail.com,1,Valid domain
pop3u8teess@nonexistent456.com,,No MX records found
8pdopfo7ag@hotmail.com,1,Valid domain
umm74o6@fakemail.io,,No MX records found
7von7ohu2sjb@yahoo.com,1,Valid domain
3rmb5u@yahoo.com,1,Valid domain
h6kx632794l@example.org,,All SMTP servers failed
ojlki@invalidomain789.net,,No MX records found
